Date,Total Number of Visitors
2011-08-30,3125
2011-08-29,3160
2011-08-28,1477
2011-08-27,1265
2011-08-26,2578
2011-08-25,3088
2011-08-24,3231
2011-08-23,3125
2011-08-22,2982
2011-08-21,1213
2011-08-20,1143
2011-08-19,2769
2011-08-18,3182
2011-08-17,3070
2011-08-16,3258
2011-08-15,3178
2011-08-14,1245
2011-08-13,1141
2011-08-12,2507
2011-08-11,2952
2011-08-10,3030
2011-08-09,3087
2011-08-08,3294
2011-08-07,1372
2011-08-06,1483
2011-08-05,2784
2011-08-04,3813
2011-08-03,3494
2011-08-02,3992
2011-08-01,3282
2011-07-31,1364
2011-07-30,1249
2011-07-29,2701
2011-07-28,3428
2011-07-27,3835
2011-07-26,4214
2011-07-25,4758
2011-07-24,1661
2011-07-23,1665
2011-07-22,5279
2011-07-21,10605
2011-07-20,6556
2011-07-19,3611
2011-07-18,3836
2011-07-17,1584
2011-07-16,1426
2011-07-15,3920
2011-07-14,3779
2011-07-13,3761
2011-07-12,4004
2011-07-11,3417
2011-07-10,1327
2011-07-09,1097
2011-07-08,2629
2011-07-07,3320
2011-07-06,3666
2011-07-05,3074
2011-07-04,1492
2011-07-03,1040
2011-07-02,1092
2011-07-01,2454
2011-06-30,2873
2011-06-29,2890
2011-06-28,2939
2011-06-27,3051
2011-06-26,1354
2011-06-25,1170
2011-06-24,2496
2011-06-23,3146
2011-06-22,3321
2011-06-21,3204
2011-06-20,3424
2011-06-19,1394
2011-06-18,1393
2011-06-17,3565
2011-06-16,4801
2011-06-15,5189
2011-06-14,3312
2011-06-13,3197
2011-06-12,1347
2011-06-11,1173
2011-06-10,2783
2011-06-09,3903
2011-06-08,3281
2011-06-07,3278
2011-06-06,3277
2011-06-05,1277
2011-06-04,1126
2011-06-03,2254
2011-06-02,2927
2011-06-01,3070
2011-05-31,3152
2011-05-30,1684
2011-05-29,1266
2011-05-28,1205
2011-05-27,2755
2011-05-26,3130
2011-05-25,3417
2011-05-24,3321
2011-05-23,3318
2011-05-22,1481
2011-05-21,1428
2011-05-20,2812
2011-05-19,3270
2011-05-18,3455
2011-05-17,3367
2011-05-16,3491
2011-05-15,1615
2011-05-14,1286
2011-05-13,2631
2011-05-12,3256
2011-05-11,3435
2011-05-10,3401
2011-05-09,3396
2011-05-08,1376
2011-05-07,1195
2011-05-06,2895
2011-05-05,3491
2011-05-04,3848
2011-05-03,3577
2011-05-02,3301
2011-05-01,1467
2011-04-30,4004
2011-04-29,5818
2011-04-28,6659
2011-04-27,6266
2011-04-26,6023
2011-04-25,5659
2011-04-24,3735
2011-04-23,3646
2011-04-22,4969
